start_time,away_team,away_team_score,home_team,home_team_score
2024-11-18 00:00:00+00:00,BROOKLYN NETS,104,NEW YORK KNICKS,114
2024-11-18 00:00:00+00:00,DALLAS MAVERICKS,121,OKLAHOMA CITY THUNDER,119
2024-11-18 02:00:00+00:00,UTAH JAZZ,105,LOS ANGELES CLIPPERS,116
2024-11-19 00:00:00+00:00,CHICAGO BULLS,122,DETROIT PISTONS,112
2024-11-19 00:30:00+00:00,PHILADELPHIA 76ERS,89,MIAMI HEAT,106
2024-11-19 00:30:00+00:00,WASHINGTON WIZARDS,106,NEW YORK KNICKS,134
2024-11-19 00:30:00+00:00,INDIANA PACERS,119,TORONTO RAPTORS,130
2024-11-19 01:00:00+00:00,HOUSTON ROCKETS,100,MILWAUKEE BUCKS,101
2024-11-19 02:00:00+00:00,ORLANDO MAGIC,109,PHOENIX SUNS,99
2024-11-19 03:00:00+00:00,ATLANTA HAWKS,109,SACRAMENTO KINGS,108
2024-11-19 03:30:00+00:00,GOLDEN STATE WARRIORS,99,LOS ANGELES CLIPPERS,102
2024-11-20 00:00:00+00:00,CLEVELAND CAVALIERS,117,BOSTON CELTICS,120
2024-11-20 00:30:00+00:00,CHARLOTTE HORNETS,115,BROOKLYN NETS,116
2024-11-20 01:00:00+00:00,DENVER NUGGETS,122,MEMPHIS GRIZZLIES,110
2024-11-20 01:30:00+00:00,NEW ORLEANS PELICANS,91,DALLAS MAVERICKS,132
2024-11-20 02:30:00+00:00,OKLAHOMA CITY THUNDER,104,SAN ANTONIO SPURS,110
2024-11-20 03:30:00+00:00,UTAH JAZZ,118,LOS ANGELES LAKERS,124
2024-11-21 00:30:00+00:00,NEW ORLEANS PELICANS,100,CLEVELAND CAVALIERS,128
2024-11-21 00:30:00+00:00,CHICAGO BULLS,106,MILWAUKEE BUCKS,122
2024-11-21 01:00:00+00:00,INDIANA PACERS,113,HOUSTON ROCKETS,130
2024-11-21 01:00:00+00:00,PHILADELPHIA 76ERS,111,MEMPHIS GRIZZLIES,117
2024-11-21 01:00:00+00:00,PORTLAND TRAIL BLAZERS,99,OKLAHOMA CITY THUNDER,109
2024-11-21 03:00:00+00:00,ATLANTA HAWKS,97,GOLDEN STATE WARRIORS,120
2024-11-21 03:00:00+00:00,NEW YORK KNICKS,138,PHOENIX SUNS,122
2024-11-21 03:30:00+00:00,ORLANDO MAGIC,93,LOS ANGELES CLIPPERS,104
2024-11-22 00:00:00+00:00,DETROIT PISTONS,121,CHARLOTTE HORNETS,123
2024-11-22 00:30:00+00:00,MINNESOTA TIMBERWOLVES,105,TORONTO RAPTORS,110
2024-11-22 01:00:00+00:00,UTAH JAZZ,118,SAN ANTONIO SPURS,126
2024-11-22 03:30:00+00:00,ORLANDO MAGIC,119,LOS ANGELES LAKERS,118
2024-11-23 00:00:00+00:00,BROOKLYN NETS,98,PHILADELPHIA 76ERS,113
2024-11-23 00:00:00+00:00,BOSTON CELTICS,108,WASHINGTON WIZARDS,96
2024-11-23 00:30:00+00:00,GOLDEN STATE WARRIORS,112,NEW ORLEANS PELICANS,108
2024-11-23 01:00:00+00:00,ATLANTA HAWKS,122,CHICAGO BULLS,136
2024-11-23 01:00:00+00:00,PORTLAND TRAIL BLAZERS,88,HOUSTON ROCKETS,116
2024-11-23 01:00:00+00:00,INDIANA PACERS,117,MILWAUKEE BUCKS,129
2024-11-23 03:00:00+00:00,DALLAS MAVERICKS,123,DENVER NUGGETS,120
2024-11-23 03:30:00+00:00,SACRAMENTO KINGS,88,LOS ANGELES CLIPPERS,104
2024-11-23 22:00:00+00:00,NEW YORK KNICKS,106,UTAH JAZZ,121
2024-11-24 00:00:00+00:00,DETROIT PISTONS,100,ORLANDO MAGIC,111
2024-11-24 01:00:00+00:00,MEMPHIS GRIZZLIES,142,CHICAGO BULLS,131
2024-11-24 01:00:00+00:00,PORTLAND TRAIL BLAZERS,104,HOUSTON ROCKETS,98
2024-11-24 01:00:00+00:00,CHARLOTTE HORNETS,119,MILWAUKEE BUCKS,125
2024-11-24 01:30:00+00:00,GOLDEN STATE WARRIORS,94,SAN ANTONIO SPURS,104
2024-11-24 03:30:00+00:00,DENVER NUGGETS,127,LOS ANGELES LAKERS,102
2024-11-24 20:30:00+00:00,MINNESOTA TIMBERWOLVES,105,BOSTON CELTICS,107
2024-11-24 22:00:00+00:00,WASHINGTON WIZARDS,103,INDIANA PACERS,115
2024-11-24 23:00:00+00:00,DALLAS MAVERICKS,118,MIAMI HEAT,123
2024-11-24 23:00:00+00:00,LOS ANGELES CLIPPERS,125,PHILADELPHIA 76ERS,99
2024-11-25 00:30:00+00:00,TORONTO RAPTORS,108,CLEVELAND CAVALIERS,122
2024-11-25 02:00:00+00:00,BROOKLYN NETS,108,SACRAMENTO KINGS,103
2024-11-26 00:00:00+00:00,ORLANDO MAGIC,95,CHARLOTTE HORNETS,84
2024-11-26 00:00:00+00:00,TORONTO RAPTORS,100,DETROIT PISTONS,102
2024-11-26 00:00:00+00:00,NEW ORLEANS PELICANS,110,INDIANA PACERS,114
2024-11-26 00:30:00+00:00,DALLAS MAVERICKS,129,ATLANTA HAWKS,119
2024-11-26 00:30:00+00:00,LOS ANGELES CLIPPERS,94,BOSTON CELTICS,126
2024-11-26 01:00:00+00:00,PORTLAND TRAIL BLAZERS,98,MEMPHIS GRIZZLIES,123
2024-11-26 02:00:00+00:00,NEW YORK KNICKS,145,DENVER NUGGETS,118
2024-11-26 03:00:00+00:00,BROOKLYN NETS,128,GOLDEN STATE WARRIORS,120
2024-11-26 03:00:00+00:00,OKLAHOMA CITY THUNDER,130,SACRAMENTO KINGS,109
2024-11-27 00:00:00+00:00,CHICAGO BULLS,127,WASHINGTON WIZARDS,108
2024-11-27 00:30:00+00:00,MILWAUKEE BUCKS,106,MIAMI HEAT,103
2024-11-27 01:00:00+00:00,HOUSTON ROCKETS,117,MINNESOTA TIMBERWOLVES,111
2024-11-27 02:00:00+00:00,SAN ANTONIO SPURS,128,UTAH JAZZ,115
2024-11-27 03:00:00+00:00,LOS ANGELES LAKERS,100,PHOENIX SUNS,127
2024-11-28 00:00:00+00:00,MIAMI HEAT,98,CHARLOTTE HORNETS,94
2024-11-28 00:00:00+00:00,ATLANTA HAWKS,135,CLEVELAND CAVALIERS,124
2024-11-28 00:00:00+00:00,PORTLAND TRAIL BLAZERS,114,INDIANA PACERS,121
2024-11-28 00:00:00+00:00,CHICAGO BULLS,119,ORLANDO MAGIC,133
2024-11-28 00:00:00+00:00,HOUSTON ROCKETS,122,PHILADELPHIA 76ERS,115
2024-11-28 00:00:00+00:00,LOS ANGELES CLIPPERS,121,WASHINGTON WIZARDS,96
2024-11-28 00:30:00+00:00,NEW YORK KNICKS,114,DALLAS MAVERICKS,129
2024-11-28 01:00:00+00:00,DETROIT PISTONS,111,MEMPHIS GRIZZLIES,131
2024-11-28 01:00:00+00:00,SACRAMENTO KINGS,115,MINNESOTA TIMBERWOLVES,104
2024-11-28 01:00:00+00:00,TORONTO RAPTORS,119,NEW ORLEANS PELICANS,93
2024-11-28 01:30:00+00:00,LOS ANGELES LAKERS,119,SAN ANTONIO SPURS,101
2024-11-28 02:00:00+00:00,BROOKLYN NETS,127,PHOENIX SUNS,117
2024-11-28 02:00:00+00:00,DENVER NUGGETS,122,UTAH JAZZ,103
2024-11-28 03:00:00+00:00,OKLAHOMA CITY THUNDER,105,GOLDEN STATE WARRIORS,101
2024-11-29 17:00:00+00:00,NEW YORK KNICKS,99,CHARLOTTE HORNETS,98
2024-11-29 19:30:00+00:00,CLEVELAND CAVALIERS,101,ATLANTA HAWKS,117
2024-11-29 22:00:00+00:00,NEW ORLEANS PELICANS,109,MEMPHIS GRIZZLIES,120
2024-11-30 00:30:00+00:00,ORLANDO MAGIC,123,BROOKLYN NETS,100
2024-11-30 00:30:00+00:00,LOS ANGELES CLIPPERS,92,MINNESOTA TIMBERWOLVES,93
2024-11-30 01:00:00+00:00,BOSTON CELTICS,138,CHICAGO BULLS,129
2024-11-30 01:00:00+00:00,DETROIT PISTONS,130,INDIANA PACERS,106
2024-11-30 01:00:00+00:00,TORONTO RAPTORS,111,MIAMI HEAT,121
2024-11-30 03:00:00+00:00,OKLAHOMA CITY THUNDER,101,LOS ANGELES LAKERS,93
